City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Mahebourg,MU,2021-09-26 20:55:16,-20.4081,57.7,70.09,94,75,11.5
222,Newport,GB,2021-09-26 20:55:16,51.5877,-2.9984,64.17,93,100,13.69
223,Tonneins,FR,2021-09-26 20:55:17,44.3921,0.3124,62.82,84,88,2.19
224,Tautira,PF,2021-09-26 20:55:17,-17.7333,-149.15,84.22,77,6,12.66
225,Bibiani,GH,2021-09-26 20:55:17,6.4635,-2.3194,71.4,99,100,2.51
226,Gunnedah,AU,2021-09-26 20:55:18,-30.9833,150.25,53.22,73,0,5.01
227,Clarksdale,US,2021-09-26 20:51:09,34.2001,-90.5709,84.18,39,1,0.0
228,Kieta,PG,2021-09-26 20:53:45,-6.2167,155.6333,80.94,79,88,1.48
229,Yangambi,CD,2021-09-26 20:55:18,0.8102,24.4336,68.27,94,93,1.63
230,Kahului,US,2021-09-26 20:55:19,20.8947,-156.47,86.97,82,10,13.0
231,Fort Nelson,CA,2021-09-26 20:55:19,58.8053,-122.7002,49.59,46,75,6.91
232,Takoradi,GH,2021-09-26 20:55:19,4.8845,-1.7554,75.15,91,100,6.89
233,Ahipara,NZ,2021-09-26 20:55:20,-35.1667,173.1667,54.55,71,100,8.12
234,Huilong,CN,2021-09-26 20:55:20,31.8111,121.655,74.98,88,36,8.16
235,Buala,SB,2021-09-26 20:55:20,-8.145,159.5921,82.49,74,77,5.35
236,Korcula,HR,2021-09-26 20:55:21,42.9622,17.1369,70.36,65,64,3.09
237,Presidencia Roque Saenz Pena,AR,2021-09-26 20:55:21,-26.7852,-60.4388,89.74,22,0,5.95
238,Inegol,TR,2021-09-26 20:55:21,40.0781,29.5133,54.68,58,0,1.74
239,Bambous Virieux,MU,2021-09-26 20:55:22,-20.3428,57.7575,70.05,94,75,11.5
240,Leh,IN,2021-09-26 20:55:22,34.1667,77.5833,54.21,31,0,4.74
241,Vilhena,BR,2021-09-26 20:55:22,-12.7406,-60.1458,77.43,64,88,5.08
242,Mildura,AU,2021-09-26 20:55:23,-34.2,142.15,42.76,65,52,4.61
243,Vila Franca Do Campo,PT,2021-09-26 20:55:23,37.7167,-25.4333,70.21,88,100,6.85
244,Pierre,US,2021-09-26 20:55:23,44.3683,-100.351,94.98,30,0,4.0
245,Wawa,NG,2021-09-26 20:55:24,9.9022,4.4192,77.11,82,90,5.35
246,Lata,PT,2021-09-26 20:55:24,40.1629,-8.3327,65.07,93,100,0.94
247,Kingisepp,RU,2021-09-26 20:55:24,59.3733,28.6134,44.19,94,6,4.23
248,Thompson,CA,2021-09-26 20:55:25,55.7435,-97.8558,62.76,51,40,9.22
249,Vao,NC,2021-09-26 20:55:25,-22.6667,167.4833,67.69,68,99,4.65
250,Alekseyevsk,RU,2021-09-26 20:55:25,57.8406,108.3492,34.34,97,100,5.91
251,Brigham City,US,2021-09-26 20:55:26,41.5102,-112.0155,88.02,20,1,1.01
252,Kudahuvadhoo,MV,2021-09-26 20:55:26,2.6708,72.8944,82.62,73,100,20.07
253,Saldanha,ZA,2021-09-26 20:55:26,-33.0117,17.9442,60.85,87,0,21.79
254,Manggar,ID,2021-09-26 20:53:29,-2.8833,108.2667,80.37,78,95,4.88
255,Naze,JP,2021-09-26 20:55:27,28.3667,129.4833,77.38,82,17,12.1
256,Aklavik,CA,2021-09-26 20:55:27,68.2191,-135.0107,32.72,80,97,4.45
257,Puerto Escondido,MX,2021-09-26 20:54:34,15.85,-97.0667,86.11,68,80,5.59
258,Cabo San Lucas,MX,2021-09-26 20:55:26,22.8909,-109.9124,96.51,69,12,6.15
259,Mandalgovi,MN,2021-09-26 20:55:28,45.7625,106.2708,42.42,31,0,8.72
260,Furukawa,JP,2021-09-26 20:55:28,38.5717,140.9556,60.55,86,91,3.18
261,Constitucion,CL,2021-09-26 20:50:56,-35.3333,-72.4167,57.54,61,46,16.91
262,Krasnovishersk,RU,2021-09-26 20:55:29,60.4078,57.082,38.79,65,100,9.44
263,Wladyslawowo,PL,2021-09-26 20:55:29,54.7909,18.4009,56.93,76,97,13.27
264,Bandarbeyla,SO,2021-09-26 20:55:29,9.4942,50.8122,79.27,77,53,18.81
265,Jalu,LY,2021-09-26 20:55:30,29.0331,21.5482,75.78,34,0,7.27
266,Zhengjiatun,CN,2021-09-26 20:55:30,43.5064,123.5064,62.87,94,100,13.11
267,Capitan Bado,PY,2021-09-26 20:55:30,-23.2667,-55.5333,89.56,28,7,2.89
268,San Francisco,US,2021-09-26 20:54:25,37.7749,-122.4194,80.78,76,75,1.99
269,Upata,VE,2021-09-26 20:55:31,8.0086,-62.3989,89.19,76,72,2.95
