City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Valparaiso,CL,75.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
Kutum,SD,83.48,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
Sidhi,IN,77.04,scattered clouds,24.4167,81.8833,Kamdhenu Sweets
San Cristobal,VE,84.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
Korhogo,CI,78.69,broken clouds,9.45,-5.6333,Hôtel Tchinbota
Namatanai,PG,79.11,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
Tezu,IN,75.06,broken clouds,27.9167,96.1667,Circuit House
West Fargo,US,89.02,clear sky,46.875,-96.9004,Hilton Garden Inn Fargo
Pochutla,MX,84.81,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
Kudahuvadhoo,MV,82.8,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
Acapulco,MX,84.9,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
Baghdad,IQ,76.91,clear sky,33.3406,44.4009,Baghdad Hotel
Saint Anthony,US,81.91,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
Davila,PH,80.51,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
Galdar,ES,75.34,scattered clouds,28.147,-15.6502,Hostel Guide
Oriximina,BR,89.87,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
Vila Velha,BR,80.96,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
Dabakala,CI,76.71,clear sky,8.3667,-4.4333,Hôtel Campement
Buala,SB,80.51,light rain,-8.145,159.5921,Maringe Lagoon Lodge
Papara,BR,85.73,clear sky,-3.9839,-38.7273,Romin
Bud,US,84.9,clear sky,39.447,-86.1758,Ted McQuinn Trust
Kalabo,ZM,76.48,few clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
Saint George,US,86.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
Soyo,AO,75.61,broken clouds,-6.1349,12.3689,Hotel Mpampa
Mangrol,IN,77.81,moderate rain,21.1167,70.1167,Hotel The Royal Honours
Xuddur,SO,77.31,overcast clouds,4.1213,43.8894,Banjanay Hotel
Sassandra,CI,75.52,broken clouds,4.95,-6.0833,la terrasse
Auki,SB,77.54,overcast clouds,-8.7676,160.7034,Auki Motel
Conroe,US,78.89,light rain,30.3119,-95.456,Hampton Inn & Suites Conroe - I-45 North
Abu Kamal,SY,81.19,clear sky,34.4506,40.9171,محطة التلفاز
Sonoita,MX,86.52,clear sky,31.85,-112.8333,Hotel Nora
Daru,PG,77.47,overcast clouds,-9.0763,143.2092,Daru Lodge
Vinh,VN,76.5,clear sky,18.6667,105.6667,Khách Sạn Thương Mại
Port-Gentil,GA,78.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
Road Town,VG,89.64,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
Jeremie,HT,83.97,scattered clouds,18.65,-74.1167,Auberge’Inn
Griffith,US,81.0,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
Tripoli,LY,77.54,clear sky,32.8752,13.1875,Hotel Al-Safwa
Sao Felix Do Xingu,BR,80.15,broken clouds,-6.6447,-51.995,Rio Xingu Camping
Belmonte,BR,77.5,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
Barranca De Upia,CO,85.1,overcast clouds,4.5696,-72.9668,HOTEL GUAICARAMO
Gwadar,PK,85.03,broken clouds,25.1216,62.3254,Sadaf Resort
Covington,US,86.11,clear sky,39.0837,-84.5086,Cincinnati Marriott at RiverCenter
Casas Grandes,MX,75.43,clear sky,30.3667,-107.95,Pueblo del Soul B&B
Koungou,YT,76.71,clear sky,-12.7336,45.2042,Villa Netibor
Morant Bay,JM,89.22,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
Puerto Narino,CO,84.15,light rain,-3.7703,-70.3831,Eware Refugio Amazonico
Sao Gabriel Da Cachoeira,BR,84.0,thunderstorm,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
Barstow,US,81.59,few clouds,34.8986,-117.0228,"Motel 6 Barstow, CA"
Matara,LK,78.58,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
Russell,US,87.08,scattered clouds,32.3502,-85.1999,Macs
Banna,PH,75.92,broken clouds,17.98,120.655,KIKO'S FARM RESORT
Mayo,US,82.13,clear sky,38.8876,-76.5119,Resorts Resource Group International
Bhuj,IN,86.18,moderate rain,23.2667,69.6667,Regenta Resort Bhuj
Fort Madison,US,86.72,clear sky,40.6298,-91.3151,Kingsley Inn
Tahta,EG,82.72,clear sky,26.7693,31.5021,مصطفي عساف
Martinez,US,77.9,clear sky,38.0194,-122.1341,Best Western John Muir Inn
Yankton,US,89.85,clear sky,42.8711,-97.3973,"Holiday Inn Express & Suites Yankton, an IHG Hotel"
Bonoua,CI,78.42,few clouds,5.2741,-3.595,Hotel Bon Samaritian
Sarangani,PH,83.84,overcast clouds,5.4033,125.4636,Ballistic Islet
Hailakandi,IN,75.16,light rain,24.6833,92.5667,Hotel Purnolaxmi
Cabra,ES,76.39,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
Afua,BR,87.4,few clouds,-0.1567,-50.3867,Hotel Dias
Worland,US,84.67,overcast clouds,44.0169,-107.9554,Town House Motor Inn
Gigmoto,PH,79.54,scattered clouds,13.7796,124.39,Cj's Travellers Inn
Mana,GF,84.15,scattered clouds,5.6592,-53.7767,LE SAMANA
Nhulunbuy,AU,79.41,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
Santa Isabel Do Rio Negro,BR,80.17,overcast clouds,-0.4139,-65.0192,Hotel GSA
Rumonge,BI,78.21,scattered clouds,-3.9736,29.4386,Kwetu Guest House
Sibolga,ID,76.33,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
Kulhudhuffushi,MV,81.99,scattered clouds,6.6221,73.07,Hondaafushi Island Resort
Coari,BR,83.28,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
Gushikawa,JP,81.63,clear sky,26.3544,127.8686,Kirari Guest House
Darapidap,PH,77.52,broken clouds,17.2131,120.4114,Candon Beach Resort
Coahuayana,MX,88.32,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
Harper,LR,77.88,overcast clouds,4.375,-7.7169,Screensaver
Hamilton,US,85.64,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
